buses: źródło=5, docelowa=5
cache: źródło=34, docelowa=34
cache_locks: źródło=0, docelowa=0
contact_contractor: źródło=2, docelowa=2
contacts: źródło=5, docelowa=5
contract_templates: źródło=0, docelowa=0
contractors: źródło=3, docelowa=3
conversation_participants: źródło=40, docelowa=40
conversations: źródło=19, docelowa=19
currencies: źródło=6, docelowa=6
event_histories: źródło=93, docelowa=93
event_program_points: źródło=26, docelowa=26
event_snapshots: źródło=8, docelowa=8
event_template_day_insurance: źródło=164, docelowa=164
event_template_event_template_program_point: źródło=929, docelowa=929
event_template_event_type: źródło=75, docelowa=75
event_template_hotel_days: źródło=33, docelowa=33
event_template_price_per_person: źródło=4950, docelowa=4950
event_template_program_point_child: źródło=0, docelowa=0
event_template_program_point_child_pivot: źródło=161, docelowa=161
event_template_program_point_parent: źródło=402, docelowa=402
event_template_program_point_tag: źródło=2224, docelowa=2224
event_template_program_points: źródło=1078, docelowa=1078
event_template_qties: źródło=5, docelowa=5
event_template_starting_place_availability: źródło=1091, docelowa=1091
event_template_tag: źródło=70, docelowa=70
event_template_tax: źródło=162, docelowa=162
event_template_transport_type: źródło=75, docelowa=75
event_templates: źródło=93, docelowa=93
event_types: źródło=2, docelowa=2
events: źródło=6, docelowa=6
failed_jobs: źródło=0, docelowa=0
hotel_room_tag: źródło=0, docelowa=0
hotel_rooms: źródło=6, docelowa=6
insurances: źródło=6, docelowa=6
job_batches: źródło=0, docelowa=0
jobs: źródło=0, docelowa=0
kategoria_szablonus: źródło=6, docelowa=6
markups: źródło=6, docelowa=6
messages: źródło=42, docelowa=42
migrations: źródło=91, docelowa=91
model_has_permissions: źródło=0, docelowa=0
model_has_roles: źródło=7, docelowa=7
password_reset_tokens: źródło=0, docelowa=0
payers: źródło=7, docelowa=7
payment_statuses: źródło=4, docelowa=4
payment_types: źródło=2, docelowa=2
permissions: źródło=56, docelowa=56
place_distances: źródło=4669, docelowa=4669
places: źródło=314, docelowa=314
role_has_permissions: źródło=94, docelowa=94
roles: źródło=5, docelowa=5
sessions: źródło=3, docelowa=3
tags: źródło=931, docelowa=931
task_attachments: źródło=2, docelowa=2
task_comments: źródło=2, docelowa=2
task_statuses: źródło=5, docelowa=5
tasks: źródło=14, docelowa=14
taxes: źródło=3, docelowa=3
todo_statuses: źródło=1, docelowa=1
transport_types: źródło=4, docelowa=4
users: źródło=11, docelowa=11
